year,title,excerpt,decade
1993,"* Software A.G., Reston, Va., to Tucker Wayne/Luckie & Co., Atlanta, previously at Smyth, Bauer & Lewis, Richmond. Billings were not disclosed. * Borders, Perrin & Norrander Inc., Portland, Ore., was awarded two new accounts previously handled by various agencies on a project basis: Smith Sports Optics, Ketchum, Idaho, a maker of goggles and sunglasses, and Insport, Beaverton, Ore., a sports apparel company. Billings were not disclosed. * Extra Broadway Corp., New York, to Beery Associates Advertising, New York, to handle its two Pauly's Italian Family Style Restaurants and Aspen Cafe. Billings were not disclosed. Accounts",,1990
1993,"Mr. and Mrs. John W. Mazzola of New York have announced April wedding plans for their daughter Amy Mazzola and Terence Brian Flynn, a son of James T. Flynn of New York and Mary L. Flynn of Chapel Hill, N.C.   Miss Mazzola is a vice president in corporate finance at J. P. Morgan & Company in New York. She and her fiance graduated cum laude from Harvard University. She was a member of the Junior Assembly in 1981. Her father, a former president of Lincoln Center in New York, is a management consultant to arts organizations in New York. Her mother, Sylvia Drulie Mazzola, is a former theatrical producer in New York. Amy Mazzola, Tad Flynn",,1990
1994,"An article on Tuesday about the Government's decision to drop its effort to bar a homosexual from serving in the Navy misstated a Federal appeals court's rationale in the case. The United States Court of Appeals for the Ninth Circuit, in San Francisco, found that under the old military policy restricting homosexuals, the Navy officer, Keith Meinhold, could not be discharged for merely saying he is homosexual. But the ruling did not say the policy violated equal protection guarantees of the Constitution. Corrections",,1990
1996,"In 1988, Alexi Indris-Santana was welcomed at Princeton University. The university was so impressed by how he had overcome an impoverished childhood and scored 1,410 out of a possible 1,600 on his Scholastic Assessment Test that  he was granted a $22,000 financial-aid package.         He was a lot less welcome after the authorities learned that his real name was James A. Hogue, that he was 11 years older than he said he was and that the  test scores were fake. In 1992, he pleaded guilty to theft by deception and served three years of a five-year prison term before being paroled in September.    NEW JERSEY DAILY BRIEFING",Student Jailed After Ruse,1990
1998,"World Monuments Fund, devoted to preserving endangered art and architecture, announcies grants to Jufu Hall in Beijing, Mesa Verde National Park in Colorado, Lednice Park in Czech Republic and Masaka Cathedral in Uganda",phots (S) Saving Endangered Art and Architecture,1990
1991,"Paul C. Bavitz was a key part of the Grumman Corporation's unsuccessful effort during the mid-1980's to win the contract for a new Navy attack plane. Now he and Grumman are getting a second crack at the program, and the stakes are high for the Bethpage, L.I.-based company.   Grumman said last week that it would bid to build the new plane, known as the A-X, as the leader of a team that includes the Boeing Company and the Lockheed Corporation. The Navy is beginning a new competition following the decision earlier this year by Defense Secretary Dick Cheney to cancel an earlier version, the A-12, when it ran into severe cost and schedule problems. The A-12 was being built jointly by the McDonnell Douglas Corporation and the General Dynamics Corporation, which in 1985 beat out Grumman, among others, for the $50 billion program. Making a Difference",A Second Chance for Grumman -- and Long Island,1990
1998,Carlyn Anne Meyer letter on Maureen Dowd's Aug 19 column holds feminists err in defending Pres Clinton Do Feminists Regret Standing By Clinton?,,1990
1998,"Jennifer Convertibles, major furniture chain in New York area, is ordered to compensate 780 customers",Atty Gen Dennis Vacco says complaints range from delivery of damaged furniture to refusing to honor warranties (S) Jennifer Convertibles Ordered to Compensate 780 Customers After Complaints Pile Up,1990
1991,"War in the Gulf 12-17    The oil slick in the gulf has spread, threatening vital desalting plants on Saudi Arabia's coast. Iraq fired missiles at Israel and Saudi Arabia again but they were intercepted by American Patriot missiles. Page 1    Saudis ask American companies for technology to halt spill 12    Airpower alone will not win the war, intelligence officials have concluded. The decision to launch a ground assault to drive Iraq from Kuwait will be President Bush's most important and difficult of the war. 1    As allies use its bases, Turkey faces implicit threat from Iraq 14    Are fake weapons confusing pilots in attacks on Iraq?  16    The Kremlin expressed reservations about the war led by the United States against Iraq, saying the conflict was extending beyond the United Nations' mandate and presenting ""a growing danger"" to Iraqi civilians. 8    President Hussein's closest advisers are like-minded aides who are bound to him by blood, either through family ties or shared responsibility for killing. But the last word on poltical or military strategy is his. 16    Islamic Asians are solidly behind President Hussein 17    Two dozen Iraqi aircraft have reportedly fled to Iran 16    Flaws in the Patriot air defense have become apparent. The warheads of some Iraqi missiles are getting through the defense system and exploding even though the missiles bearing them were shot down. 14    Reporter's Notebook: Keeping score in the desert 13    Despite missiles, hundreds of volunteers to work in Israel 14    U.S. evacuates Americans after missile attack on Riyadh 14    Tens of thousands protested the war in the gulf, invoking a specter of spiraling human and environmental costs. The protests, which were held in Washington and on the West Coast, were the largest so far. 17    Thousands converge in Germany to protest the war 17    Liberals in search of values run into discord over war 17   International 3-11    The KGB has been given new powers to search private businesses and to seize documents. President Gorbachev's order was another sign of his campaign to restore central control over the economy. 1    Yugoslav army retreats from threat to disarm police units 3    Europeans meet to discuss impact of emigration to the West 9    Czechoslovakia auctions stores to private buyers 10    American business groups call for new farm trade talks 6     Beijing sentenced eight dissidents, including the nation's leading human rights advocate and its foremost student leader, to relatively lenient sentences for their role in the Tiananmen Square democracy movement. 3    More rebels in Colombia agree to lay down their arms 4    Ecuador fights to keep out the region's drug traffickers 11    White House moves to end feud at information agency 10  National 18-21    Urban poverty remains entrenched in American society. After a decade of relative prosperity, the suffering has spread, and as Vietnam stalled the war on poverty, the gulf war will leave more problems unattended. 1    Minnesota's Teacher of the Year had just been layed off 20    A.C.L.U. elects a new president -- the first woman to serve 20    The nation's new child care measure was intended to help low- and middle-income families find care they could afford, but advocates say the Administration has delayed writing regulations needed to put it in effect. 18    Is another boon coming to Alaska? Gov. Walter Hickel of Alaska, who was elected in November as an independent, wants to use the state's revived oil wealth to prospect for new riches and build the state's infrastructure. 1    Deaths at rock concert renew a debate over seating safety 18    Hollywood Journal: The lingerie of the rich and famous 18   Regional 22-28    The Daily News strike has been a test for American labor, which has been losing ground for decades. The visibility of the paper in a city with strong labor traditions gives it the opportunity to display its will. 1    The collapse of Eastern Airlines has cost the jobs of 1,350 employees at La Guardia Airport, some of whom had worked for the airline for years. Another 350 workers lost their jobs at Newark International Airport. 22   $10 million gift to Yale honors founder of Time Magazine 22    East Harlem mourns teen-ager whose killing baffles the police 24    Suspects are sought in a series of rapes in the Bronx and Queens 24    Transit Museum, at the end of the line, is given a reprieve 25    Fungus disease attacking maple trees is spreading in New York 28    Neediest Cases 22    Obituaries 26    Jack Schaefer, author of westerns, including ""Shane""    Arts/Reviews 44    Photo portraits at National Gallery    Campus Life 31-33    Fashion 36-37    Life Style 34    Pastimes 45-46    Weddings 40-43 NEWS SUMMARY",,1990
1997,"HYLAND-Fannie (nee Irwin). On December 27, 1997. Of Newtowngore, Co. Leitrim, Ireland. Loving wife of the late William J. (retired MABSTOA). Beloved mother of Thomas (retired NYPD) and daughter-in-law Victoria. Grandmother of Brian, Alison and James. Also survived by her brother, John Irwin of Ireland. Visiting at the Albert R. Conner-Colonial Funeral Home, 4955 Broadway (at West 207th St.), NYC, Monday, 2-5 and 7-9 PM. Funeral mass Tuesday, 10 AM, Mother Cabrini Chapel. Interment Long Island National Cemetery. Paid Notice: Deaths  HYLAND, FANNIE (NEE IRWIN)",,1990
1997,David Willis McCullough reviews book Echo House by Ward Just (M) The Ruling Class,,1990
1994,"The chairman of E. I. du Pont de Nemours & Company, Edgar S. Woolard Jr., said last week that the company did not plan to use proceeds from a $3.4 billion bond sale to buy back stock from the Seagram Company.   Mr. Woolard said a notice by Du Pont to the Securities and Exchange Commission recently that it planned to sell the bonds was a ""routine shelf registration"" that would allow the company to refinance as needed ""over the next couple of years."" Du Pont Denies Seagram Move",,1990
1992,"As the Iran-contra trial of Clair E. George unfolds in Federal District Court here, the Central Intelligence Agency finds itself on the kind of display it abhors.   The agency is a citadel to secrecy, its officers steeped in codes of silence and loyalty. But the trial of Mr. George, the most-senior agency official to be charged in the Iran-contra affair, has featured long discussions of agency procedures, the exposure of C.I.A. cables and briefing books, and often-dramatic accounts of how its senior people behaved in a crisis. Trial Puts Unwelcome Light on C.I.A.",,1990
1992,"When the telephone call woke Georgia Thweatt at 5:30 A.M. on a recent Saturday, she cried for 45 minutes. Then she got up, took a taxicab from Miracle House on West 43d Street to New York Hospital and kissed her 31-year-old son Dwayne goodbye.   Two days later, as Ms. Thweatt packed to return to her life in Richmond, Va., as nurse, Army Reserve lieutenant and mother now of only four, her face was smooth, her voice steady and her eyes filled not with grief but with a quiet fire. Haven in the Grim World of AIDS",Miracle house Helps Visitors Comfort Dying Relatives,1990
1991,"New York City will have to build as many as three new garbage incinerators, in part because it will not be able to recycle as much trash as state goals call for, the Dinkins administration has concluded.   The new incinerators could cost at least $1 billion and will most likely prompt fierce opposition from environmental and community groups. In his 1989 mayoral campaign, David N. Dinkins had held out hope that the city would be able to address its trash disposal needs without resorting to new incinerators.   But in a plan to be disclosed today, Dinkins administration officials acknowledge that in addition to expanding three existing plants, two to three additional new incinerators will be needed.  Burning Plus Recycling    The administration also said that the city would have to burn 68 percent of its trash, slightly less than what was contemplated by the Koch administration.  The city collects 14,500 tons of waste a day. ""Even with very aggressive recycling, we still need to burn 10,000 tons,"" Steven M. Polan, the city's Sanitation Commissioner, said in an interview yesterday.   Many environmental and community groups have vehemently opposed building new incinerators because of concern over worsening air quality and neighborhood disruption by truck traffic. Incinerators emit several kinds of contaminants including soot particles containing lead, acid gases and dioxin, considered to be health risks.    The city will be able to recycle 25 percent of its trash by the year 2000, the same level required by city law but less than a state goal of as much as 42 percent by 1997, Mr. Polan said.    But any more than 25 percent cannot be economically justified because recycling markets will not be sufficiently developed to absorb all the material that New Yorkers could separate for recycling, he said.   Opponents of incinerators are very likely to take issue with the Sanitation Department analysis that only 25 percent recycling is economically feasible.   But city officials say that just to reach the 25 percent level will require adding to the six materials many New Yorkers currently separate for recycling pickup. About 6 percent of the trash collected by the Sanitation Department is now being separated under the city's struggling two-and-a-half-year-old recycling program.   Mr. Polan is to present highlights of the administration's plan at a state legislative hearing on solid waste today at 11 A.M. at 270 Broadway in New York City. A city solid waste management plan required by state law -- already five months late -- is expected to be completed and released for public comment by Nov. 1, Mr. Polan said. In the interview yesterday, Mr. Polan offered only an outline of the plan, and it was unclear when the new incinerators would be built.    After hearings in November and December, the plan will be modified and submitted to the state Department of Environmental Conservation. The city cannot build trash processing or disposal plants until the plan receives state approval.   Many officials, including Mr. Dinkins's First Deputy Mayor, Norman Steisel, maintain that recycling has limits and that with landfill capacity running out, the city has no alternative except to burn a substantial amount of its trash. Incineration proponents say modern plants are safe if properly maintained. Dinkins' 1989 Promise    In 1989, Mr. Dinkins promised to delay a decision until 1993 about building more incinerators, pending a review of the city's trash disposal needs.   ""We're not going to have giant, mass-burn incinerators in every borough belching poison into the air,"" he said, after receiving the endorsement of the New York League of Conservation Voters.   The next February, Mr. Dinkins said at a conference on the environment: ""You all know that I have some very serious concerns about the consequences of proceeding with resource-recovery plants, especially with regard to the toxic ash produced by that technology. Unless my concerns are adequately answered, we will not proceed with incineration.""   Resource-recovery plants are incinerators that convert garbage-generated steam into electric power.   Under one Koch administration plan, new incinerators would have been built in each borough. Mr. Polan said the Dinkins plan would require building two or three new incinerators and the expansion of three existing units, which is under way. Construction of an incinerator at the old Brooklyn Navy Yard remains a possibility, a department spokeswoman, Anne Canty, said.   The Sanitation Department's study found that incineration is the cheapest way to dispose of trash, Mr. Polan said, but an approach limited to burning would be at odds with the state's environmental priorities and increasing national emphasis on more recycling.   He reiterated that the city's current recycling program is struggling and needs an overhaul badly. Such an overhaul would require big revisions in the city's mandatory recycling law, which contemplated 25 percent recycling by spring 1994.   Sounding an old theme, Mr. Polan said achieving 25 percent recycling at an affordable cost will require changes in sanitation union work rules. The department needs more flexibility to move workers from collection to recycling routes, he said. Bargaining between management and the union has gone nowhere on the issue. NEW INCINERATORS TERMED ESSENTIAL IN NEW YORK CITY",,1990
1995,COOLIO: 'GANGSTA'S PARADISE' Tommy Boy    Pop Briefs,,1990
1992,"""Undertow,"" a once-shocking ballet created in 1945 by Antony Tudor and now splendidly revived by Sallie Wilson for American Ballet Theater, is one of those works whose time has come again.    Murder and sex, the ballet's themes, were common currency in the psychological dance-drama of the 1940's, and Tudor was king of the genre. Yet in ""Undertow,"" he seemed almost literal about tracing the case history of a killer","by 1979, when Ballet Theater last presented ""Undertow,"" the ballet seemed out of step with a new era. Although seen from the anti-hero's point of view, the work's message, with no mitigating factors, seem to be that both women and sex are dirty. Review/Ballet; Tudor Work Back in Step With the Times",1990
1995,"To the Editor:         ""Argentina's Enlightened Chief of Staff"" (editorial, Oct. 27) is right to highlight the historic importance of Gen. Martin Balza's apology for the crimes  of the ""dirty war"" of the 1970's. General Balza's leadership is changing the Argentine military mentality in other stunning ways. But President Carlos Menem  has not responded with gestures of his own.    Let Argentina Take Next Disclosure Step",,1990
1997,"GURWIN-Rosalind. Beloved and devoted wife of Joseph. Adored and cherished mother of Laura Flug, Eric Gurwin, mother-in-law of Karen, twin sister of Murray Brizel, loving grandmother of Danielle, Jeffrey, Jason and Jaclyn. Services Tuesday, 12 noon, Temple Beth-El of Great Neck, corner Middle Neck Rd and Old Mill Rd. Contributions can be made in her name to the Gurwin Jewish Geriatric Center, PO Box 9017, Commack, NY 11725, or to the charity of your choice.    GURWIN-Rosalind. The leadership and staff of UJA-Federation of New York deeply mourn the passing of Rosalind Gurwin, wife of Joseph Gurwin, our former chairman of the board and one of our community's true giants in philanthropy and communal service. For many years, Mrs. Gurwin, a true partner with her husband, was an outstanding leader for UJA-Federation, and a strong supporter of both the New York and Palm Beach campaigns. She was active in the Women's Campaign and served with distinction as a member our of Board of Directors and Building Art Committee. Her philanthropic support extended to the Rosalind and Joseph Gurwin Jewish Geriatric Center of Long Island, an outstanding beneficiary of UJA-Federation. Her compassion and devotion to helping those in need, both in New York and in Israel, will always be remembered. To her husband, Joseph, her son, Eric, and daughter-in-law, Karen, and daughter, Laura Flug, and grandchildren, and her entire family, we extend our deepest sympathies. Larry A. Silverstein, Board Chair Louise B. Greilsheimer, President Stephen D. Solender, Exec. VP    GURWIN-Rosalind. The Board of Governors and the members of the Glen Oaks Club express their deepest sorrow at the passing of Rosalind, wife of our esteemed member, Joseph, and extend their heartfelt sympathy to her family. BOARD OF GOVERNORS Buddy Martin President    GURWIN-Rosalind. Temple BethEl of Great Neck records with profound sorrow the passing of its beloved member and wife of Joseph, former Officer of our congregation. We extend heartfelt sympathy to her bereaved family. Shelley M. Limmer, President Jerome K. Davidson, Rabbi    GURWIN-Rosalind. Dearest Ros, we will miss you so. A gracious lady-a warm, caring and wonderful friend. Our deepest sympathy to Joe, Laura and Eric. With love, Bernice and Sid Jacobson    GURWIN-Rosalind. She taught us to live with compassion, goodness and generosity. Our condolences to the entire family. Shirley Katz and Benjamin Duhl    GURWIN-Rosalind. We mourn the loss of our dear friend Roz, and extend sincere condolences to Joseph, Laura and Eric. Gertrude and Bennett    GURWIN-Rosalind. Dear Roz-a gentle, kind, loving woman. We will miss you. Our love to Joseph and their family. Lola and Saul Paid Notice: Deaths  GURWIN, ROSALIND",,1990
1992,"The hotel lobby was filled with Texas A&M supporters dressed in their Cotton Bowl T-shirts, some brandishing their class rings, others in A&M baseball caps. It is bowl week here and, for the second straight year, Aggie fans are out in full force.   This time, though, they have little to celebrate. Twice let down -- first by the bowl selection committee, then by some of their own -- the Aggie fans have come hard to the knowledge that Friday's game between Texas A&M and Notre Dame is not merely about football, not anymore. For Texas A&M, a Cloud Over Cotton Bowl",,1990
1993,*3*** COMPANY REPORTS ** Upper Peninsula Energy Corp. (NMS) reports earnings for Qtr to Sept 30,,1990
1991,"One recent afternoon, bored with chicken salad and not eager to have meat, I remembered all the dishes I had read about that used smoked salmon in place of fresh. Suddenly the summertime potato salad I had been wanting to make seemed just the vehicle for a bit of fancy fish.    It doesn't take much smoked salmon to permeate a potato salad, providing all the flavor with little of the fat or salt. Sunday Menu",Potato Salad With Smoky Taste of the Sea,1990
1990,"LEAD: Meyer Mitchell Kailo, a career civil servant for the City of New York, died on Monday at the West Boca Raton (Fla.) Hospital. He was 73 years old and had homes in Boca Raton and Suffern, N.Y. Meyer M. Kailo, 73",Rose From a Clerk To a Housing Aide,1990
1993,"MIXED FEELINGS
Love, Hate, Rivalry, and Reconciliation Among Brothers and Sisters.
By Francine Klagsbrun.
Bantam, $22.50. IN SHORT: NONFICTION",,1990
1995,"HAVE FUN,"" I TELL MY SON AS I LET him out in front of the high school.

""Why do you always say, 'Have fun'?"" he asks, as if that were the most idiotic thing in the world. ABOUT MEN",Extra Help,1990
1991,"Throughout the American Midwest, traditional home of industry and can-do optimism, a mood of hestiancy, mistrust and disorientation seems to have taken hold.    Nebraska still welcomes travelers with a billboard saying ""The Good Life,"" but interviews in four states suggest a deep malaise about the nation's leadership and economy. Purchases of goods from cars to combines are bring postponed.    It is not merely that nobody believes Vice President Quayle's statement that ""the country is out of the recession."" It is that few perceive the Administration to have the means to revive the economy.    Business Day, page D1. Economic Malaise Across the Midwest",,1990
1999,"Week afer Dr Elaine Witterschein, Jersey City podiatrist, hanged herself in Pennsylvania jail cell, preventing Hudson County prosecutors from questioning her about death of her sister-in-law, Mary Ann Witterschein, investigators receive letter she wrote about death","account of letter published in Star-Ledger of Newark says that Dr Witterschein and her sister-in-law had argued over proceeds of estate of her brother, who died about year ago; Dr Witterschein wrote that she had handcuffed and gagged her sister-in-law in a chair, and left here there while she went out; on her return, she found that her sister-in-law had freed herself from chair, only to fall down flight of steps to her death; Dr Witterschein says that, fearing no one would believe her, she hid body in cooler (S) Letter by Dead Woman Tells of Body in Cooler",1990
1991,"While college graduates around the country are going through one of the most fruitless summers of job-hunting in memory, a senior at Arizona State University has shown how to make ends meet the easy way -- by winning the state lottery.    On Saturday, just two days before his last classes ended, Neil Midler was picked as a winner of almost a million dollars in the lottery. Mr. Midler will split $1.87 million with another ticket holder who has not yet come forward to claim his prize.Mr. Midler, a 22-year-old finance major from Scottsdale, said he bought the winning ticket at a Circle K convenience store here. Graduate's Winning Ticket",,1990
1998,"Sense of weariness pervades Arkansas and Pres Clinton's hometown of Little Rock amid allegations of sexual relationship with former White House intern, Monica S Lewinsky","friends and loyalists are buoyed by his recent strong denials, but, after six years of accusation and scandal that began with his first Presidential campaign, most simply want it all to end; photos (M) A Deep Weariness in Little Rock",1990
1991,"To the Editor: While in Banglaore, India, last year I purchased several artifacts from Natesan's Antiquarts. This was supposedly a well-known establishment with several offices in India. After they were unable to package my purchases so that I could take them with me they told me that they would charge me $150 all inclusive to have the items delivered in New York. When the items arrived, there were other fees of approximately $60 due. When I wrote to Natesan's for reimbursement, they ignored their commitment and stated that the fees were ""probably some port charges and incidental expenses."" They added that they themselves had incurred additional expenses but did not bill us for them as we were ""an esteemed customer.""    The moral is that no matter how big and well established a firm is, caveat emptor.  S. KATZ West Nyack, N.Y. Krishnagopal Natesan, director, Natesan's Antiqarts, replies: The Katzes purchased two wooden handicraft items. Under their instructions, these were dispatched by sea on a freight-prepaid basis. We collected on their credit card $150 for packing, insurance and freight. On any sea cargo, a nominal amount has to be paid at the destination port by the customer, as is mentioned in the American President Lines bill of lading. That was $23. Since they did not collect cargo on time, they had to pay storage charges of $26. The buyers misunderstood if they thought that they would not have to pay any incidental charges at their end. We have been in business for six decades and have many satisfied customers. India",,1990
1998,"Weeks     This   On     Week   List   Fiction                 1   7   TOM CLANCY'S POWER PLAYS: POLITIKA, created by Tom Clancy and Martin Greenberg. (Berkley, $7.50.) In 1999, an American contends with terrorists threatening his business in Russia.                 2   8   WIZARD AND GLASS, by Stephen King. (Plume, $17.95.) Volume 4 of ''The Dark Tower.''                 3   4   ''M'' IS FOR MALICE, by Sue Grafton. (Fawcett, $7.99.) Murder results as sons line up to inherit a family fortune.                 4   3   SEA SWEPT, by Nora Roberts. (Jove, $7.50.) Family rivalries flame anew when a champion boat racer returns to help a troubled brother.                 5   8   SOLE SURVIVOR, by Dean Koontz. (Ballantine, $7.99.) A woman may know a secret about the plane crash that killed a reporter's family.                 6   5   PETALS ON THE RIVER, by Kathleen E. Woodiwiss. (Avon, $12.50.) An Englishwoman finds love with a widower in 18th-century Virginia.                 7   12   AIRFRAME, by Michael Crichton. (Ballantine, $7.99.) A near disaster befalls a plane.                 8   8   TOTAL CONTROL, by David Baldacci. (Warner Vision, $7.50.) A woman's effort to find her husband reveals the ways of big business.                 9   9   ELLEN FOSTER, by Kaye Gibbons. (Vintage, $10.) A girl learns self-reliance growing up with wicked relatives in the backwoods South.                 10   36   THE RAINMAKER, by John Grisham. (Island/ Dell, $7.99.) A young man barely out of law school tries to expose a multibillion-dollar scam.                 11   9   A VIRTUOUS WOMAN, by Kaye Gibbons. (Vintage, $10.) A young widow, the daughter of Carolina gentry, finds love with an older tenant farmer.                 12   12   JACK & JILL, by James Patterson. (Warner Vision, $7.50.) Serial killers at large in Washington.                 13   1   TEMPTATION'S KISS, by Sandra Brown. (Warner Vision, $5.99.) The relationship between a radio station executive and her best customer.                 14   6   THE LIST, by Steve Martini. (Jove, $7.50.) A writer's scheme to get her novel on the best-seller list leads to a murder and endangers her own life.                 15   1   AMISTAD, by Alexs Pate. (Dreamworks/ Signet, $6.50.) A novel based on the film about an 1839 mutiny aboard a slave ship.                 16   3   *KILL AND TELL, by Linda Howard. (Pocket, $6.99.) A woman undertakes to solve the mysterious murder of her father, a Vietnam veteran.                    Weeks        This   On        Week   List   NonFiction                 1   34   UNDAUNTED COURAGE, by Stephen E. Ambrose. (Touchstone/S&S, $16.) The story of how Thomas Jefferson sponsored Lewis and Clark. (+)                 2   14   UNDER THE TUSCAN SUN, by Frances Mayes. (Broadway, $13.) A celebration of life in the Italian countryside by an American poet.                 3   48   INTO THE WILD, by Jon Krakauer. (Anchor/ Doubleday, $12.95.) How a young man's obsession with the wilderness had a tragic end.                 4   70   A CIVIL ACTION, by Jonathan Harr. (Vintage, $13.) A lawsuit brought by Massachusetts householders against industrial polluters. (+)                 5   46   THE COLOR OF WATER, by James McBride. (Riverhead, $12.) A black writer and musician remembers his experiences growing up with his white mother in a Brooklyn housing project.                 6   45   GIRLFRIENDS, by Carmen Renee Berry and Tamara Traeder. (Wildcat Canyon, $12.95.) The ties that bind women of all ages and all kinds.                 7   18   HANSON, by Jill Matthews. (Archway/Pocket, $3.99.) The story of the pop-rock group composed of three young brothers.                 8   8   * UNDERBOSS, by Peter Maas. (Harper Paperbacks, $6.99.) Life in the Mafia as lived and observed by Salvatore (Sammy the Bull) Gravano.                 9   3   IN THE NAME OF LOVE, by Ann Rule. (Pocket, $6.99.) Five true-crime cases, including one about the mysterious disappearance of a self-made millionaire.                 10   76   HOW THE IRISH SAVED CIVILIZATION, by Thomas Cahill. (Anchor/Doubleday, $12.95.) The story of monks who copied Western literature. (+)                 11   4   A REPORTER'S LIFE, by Walter Cronkite. (Ballantine, $14.) From Kansas City newsboy to newspaper reporter to anchorman: a memoir. (+)                 12   12   SEVEN YEARS IN TIBET, by Heinrich Harrer. (Tarcher/Putnam, $13.95.) An Austrian mountaineer recounts his adventures during the 1940's.                 13   11   A CHILD CALLED ''IT,'' by Dave Pelzer. (Health Communications, $9.95.) The autobiography of a man who survived his mother's abuse.                 14   4   * ANATOMY OF THE SPIRIT, by Caroline Myss. (Three Rivers, $14.) The importance of holistic ''energy medicine.'' (+)                 15   3   HANSON: The Official Book, by Jarrod Gollihare. (Billboard, $10.95.) A profusely illustrated account of the pop-rock trio.                    Weeks        This   On        Week   List   Advice, How-To and Miscellaneous                 1   35   DON'T SWEAT THE SMALL STUFF . . . AND IT'S ALL SMALL STUFF, by Richard Carlson. (Hyperion, $9.95.) How to enjoy life more. (+)                 2   11   CHICKEN SOUP FOR THE MOTHER'S SOUL, compiled by Jack Canfield, Mark Victor Hansen, Jennifer Read Hawthorne and Marci Shimoff. (Health Communications, $12.95.) Inspiration. (+)                 3   31   CHICKEN SOUP FOR THE TEENAGE SOUL, compiled by Jack Canfield, Mark Victor Hansen and Kimberly Kirberger. (Health Communications, $12.95.) Inspirational stories. (+)                 4   55   CHICKEN SOUP FOR THE WOMAN'S SOUL, compiled by Jack Canfield et al. (Health Communications, $12.95.) Inspiration. (+)          Rankings reflect sales figures, for the week ending Dec. 27, at almost 4,000 bookstores plus wholesalers serving 60,000 other retailers, statistically weighted to represent sales in all such outlets nationwide. An asterisk (*) indicates that a book's sales are barely distinguishable from those of the book above. A dagger (+) indicates that some bookstores report receiving bulk orders for a book. PAPERBACK BEST SELLERS: January 11, 1998",,1990
1996,"A former undercover police officer who admitted accepting bribes from organized-crime figures in Chinatown for years and alerting them to police raids on illegal gambling dens and brothels was sentenced yesterday to 18 months in prison.         In pronouncing sentence on the former officer, John Gaw, Judge I. Leo Glasser of Federal District Court in Brooklyn called the case one of the worst instances of police corruption he had seen.    Ex-Officer Gets 18 Months in Briberies",,1990
1996,"An article yesterday about campaign fund-raising for the 1996 elections referred incorrectly to fund-raising efforts by John Huang, a Democratic operative who had worked in the Commerce Department. The Democratic National Committee has returned more than $1 million in contributions brought in by Mr. Huang from others, including $250,000 from a South Korean company that may have violated the law prohibiting foreign companies from donating to political parties, but Mr. Huang's precise role in those transactions has not yet been determined. There is no known evidence that he raised money from an Indonesian conglomerate for which he once worked. Mr. Huang, an American citizen, has also not been accused of making illegal foreign contributions himself.    The article also misstated the totals of the ''soft money'' raised by the political parties -- money for party activities rather than individual campaigns. In 1992, the total was $89 million and in 1994 $107 million","this year it is expected to be $250 million. (The amounts are in the millions, not billions.)   Corrections",1990
1999,"Joseph Druffel, prolific architect of low-income housing in New York City for last 25 years, dies at age 60 (M) Joseph Druffel, 60, Architect for the Poor",,1990
1993,"Tight end Johnny Mitchell would be a senior at Nebraska right now had he not opted for the National Football League draft as a sophomore in 1991. After two years with the Jets, the first-round draft pick is just a manchild in the rough and tumble N.F.L., a physically gifted athlete still struggling with the nuances of the game and the politics of the locker room.   The Jets adore his offensive talent, yet some of his teammates cringe when he opens his mouth. Recently, while Mitchell was giving an interview in front of his locker, some teammates to his left began shaking their heads in disbelief at what he was saying. Jets' Mitchell a Tight End With Loose Lips",,1990
1992,"Iraq's imports of basic foods like rice, sugar, cooking oil and tea have fallen sharply in recent weeks, say Government officials here and private traders in the Jordanian capital who traditionally handle most of that country's import needs.   Iraqi merchants have virtually ceased placing new orders here for some weeks now, their Jordanian counterparts say, apparently because of the disruption caused by a more than 50 percent fall in the value of the Iraqi dinar last month and after Baghdad executed some 40 merchants it had accused of profiteering. IRAQ FOOD IMPORTS ARE SAID TO DROP",,1990
1997,Kayhan Parsi letter on Nov 19 article on police brutality in New York City (S) Dropped Charges Don't Hide Police Misconduct,Public Trust Is Lost,1990
1995,"Milcho Manchevski has been tired lately. Happy, yes. ""But so tired it's sort of wearing off on the happiness,"" he said wistfully from the apartment in Skopje, Macedonia, where he grew up. That was a month ago. Last week, sitting in the bar of the Rihga Royal Hotel in New York, a discreet gold stud in each ear, Mr. Manchevski was, if anything, more exhausted.    The director, who is 35, had a lot to feel tired about. Not long ago he was leading a busy but manageable life as a New York-based director of music videos and commercials. Then he made his first feature film, ""Before the Rain."" A Journey to Macedonia Takes a Director to Sundance",,1990
1996,"If being the conductor of one orchestra is good, then being the conductor of  two must be twice as good -- or so MARVIN HAMLISCH, who is also a composer and pianist, thinks. He was recently named principal pops conductor of the Baltimore Symphony, a position he already holds at the Pittsburgh Symphony.         In both cases, ""that means that I am responsible for what will be on the programs and who the guest artists will be,"" Mr. Hamlisch said the other day.    CHRONICLE",,1990
