year,title,excerpt
1993,"Sheik Omar Abdel Rahman, the radical Islamic cleric whose followers have been linked to two bombing conspiracies in New York City, suffered a setback yesterday in his efforts to stay in the United States as the Board of Immigration Appeals in Washington rejected his request for political asylum.   The board also upheld an earlier order by the Immigration and Naturalization Service that he be expelled. Immigration Board Rejects Sheik's Plea for Asylum",
1920,NEW CORPORATIONS,
1926,"CHICAGO, June 16. -- Wheat showed a firm undertone the greater part of the day, due largely to buying induced by decidedly unfavorable crop reports from France, with private cables suggesting that the yield would be anywhere from 30,000,000 to 60,000,000 bushels less than last year, and the suspension of the import duty into that country until July 31.   EARLY WHEAT GAIN SAGS AT THE FINISH",Good Bulge on Bad Crop Reports From France Checked Later by Profit Taking.
1963,News Summary and Index,The Major Events of the Day International National Metropolitan
2007,"One of Canada’s largest pension funds is in early talks with other pension funds and a private equity firm to form a consortium to mount a $45 billion takeover bid for BCE, the parent company of Bell Canada, The New York Times reported Tuesday, citing people briefed on the discussions. Such a takeover bid would be the largest buyout in history and represent a rare effort by a pension fund, rather than a private equity firm, to lead a buyout of this size.  Funds Said to Consider $45 Billion Bell Canada Bid",
1971,article revs recent Educ Office rept that charges gifted children are neglected in Amer educ,illus Education
1941,Germany to import from USSR under new pact REICH ELATED OVER TREATY,Trade Pact Cited as Reply to Talk of Rift With Soviet
1961,speculation on implications of Gidney ruling WEST RULES OUT SOVIET AUTHORITY ON BERLIN FLIGHTS,"U.S., Britain and France Tell Moscow That It Has No Jurisdiction in Matter CHARGE CALLED 'FALSE' Notes Deny Allies Abuse Use of Corridors -- Red Entry Restrictions Protested WEST AGAIN GIVES A BERLIN WARNING"
1931,THE BABSONS MEET,
1992,"WHEN the Resolution Trust Corporation chose JBS & Associates to auction off $800 million worth of bad consumer, commercial and real estate loans from failed savings and loans, it handed the seven-year-old Chicago real estate consulting and auction firm the largest such assignment in history.   To make things easier on everyone, Joel D. Zegart, president of JBS, has brought computer technology to bear to make it easier for potential bidders to plan for the fire sale of the 43,000 debts last week in Atlanta. Computerizing the Maze Of Savings and Loan Data",
1948,local declines to set gen walkout date,rept on violence between police and pickets holds incident was deliberately planned by pickets WALL ST. PICKETING CONTINUES IN RAIN; But Threat of General Strike Fails to Materialize -- Report Made on Tuesday Battle
1950,"Easter is a day of rededication of faith, and it is also a time when man faces his world with more confidence. This may be  related in part to the fact that he is newly clothed, in the latest mode, with a completeness not usual to any other single day of the year.   Topics of The Times",Season to Begin Again
1992,"They buried Robert Walther yesterday, watched his plain gray coffin into the New Jersey ground, a handful of mourners saying goodbye to a man hardly any of them even knew.    Mr. Walther died a most horrific and dehumanizing death, set on fire, like a heap of trash, by a group of teen-agers as he slept on a subway train in the Bronx. He lived apart and died alone, and perhaps it was fitting that he was buried without the company of anyone who knew the kind of man he had been. They Came to Mourn a Man They Hardly Knew",
1964,"WASHINGTON, Aug. 20 (AP)&#8212","Retail sales for the week ended Aug. 15, were 1 per cent below the preceding week but 6 per cent above the similar 1963 week, the Department of Commerce estimated today. RETAIL SALES IN U.S. RISE 6% FOR WEEK"
1956,Article 1 -- No Title,
1955,Mayor sends silver gondola to NYC Mayor Wagner MAYOR TO GET GONDOLA,Vulcania Captain to Present a Token From Venice
1973,Ski pro J-C Killy discloses on Nov 16 that he will be unable to compete in early events of '73-74 pro ski tour because of a lingering stomach disorder Sports News Briefs,
1973,"Mrs L Boggs announces on Jan 13 that she will be candidate for La Cong seat of her husband H Boggs, who was lost in plane flight in Alaska Oct 16",Boggs was re-elected after his disappearance Mrs. Boggs Will Run For Her Husband's Seat
1971,"ST. PETETISBURGH, Fla., March 1&#8212","Nobody knows ex actly when the New York Mets switched, but late in the nineteen&#8208;sixties they started to search for hitters to help their young pitchers. Now they have half a dozen home&#8208;grown swingers in training who represent the chief change from the team's past and the chief hope for its future. Mets Planning to Stress. More Hits Over Pitching"
1944,S W Farland sentenced for slaying JERSEY SLAYER GUILTY,"Killer of Bartender, 61, Will Go to Prison for Life"
1974,"Sen Philip A Hart accuses Nixon Adm of trying to undermine Amer people's right to privacy, Mar 2 radio speech","calls on Pres Nixon to ban any wiretapping or electronic surveillance unless authorized by ct, to require Fed agencies to obtain subpoenas for telephone records or private business records, and to support stiffer controls on dissemination and use of criminal justice records (M) Hart Says Administration Undermines Privacy Right"
1995,"Continental Airlines Inc. reported yesterday that its earnings more than tripled in the third quarter, exceeding Wall Street expectations.         Analysts said they expected most other carriers to report healthy earnings, as well. The AMR Corporation, parent company of American Airlines, is scheduled  to release its earnings today. Several analysts said AMR's results could also surpass their estimates.    COMPANY REPORTS","CONTINENTAL AIRLINES INC. (CAI.A,N)"
1969,"To become sr partner in law firm of Poletti, Freidin, Prashker, Feldman & Gartner Carter, an Ex-N.A.A.C.P. Aide, New Senior Partner in Law Firm",
1933,Pennland Is Delayed 4 Hours.,
1933,WATERTOWN.,
2002,"Latest nominations in newest Tony category, special theatrical event, noted","all four nominations are for one-person shows by John Leguizamo, Bea Arthur, Elaine Stritch and Barbara Cook; caricatures (Special Section: The Tony Awards) (M) Aren't They Special?"
1933,Golden Rule Sunday observed,"Golden Rule Week begins GOLDEN RULE GIFTS TO HUNGRY ASKED; Roper Leads in Appeal, Hailing Fair Regard for Others as New National Policy. WEEK'S PROGRAM BEGINS Straus Scores Individualism as Philosophy of an Era Eclipsed Since 1930."
2007,"On the larger steelhead rivers of the Pacific Northwest — the Skagit and Bulkley, among others — hooking a steelhead trout on a fly may require a thousand very long casts. Spey Rod Is Long-Range Weapon in Anglers’ Arsenal",
1954,The rules drawn up by the National Labor Relations Board for a new collective bargaining representation election by May 26 among longshoremen in the Port of New York seem sensible and fair. The board's regional officers have a month in which to complete their preparations.   DOCKERS' ELECTION,
2008,President Hamid Karzai of Afghanistan said that he had sought the intervention of the Saudi royal family to bring the resurgent Taliban to peace negotiations. Karzai Sought Saudi Help With Taliban,
1931,SMALL PLANTS MORE ACTIVE.,"May Be First Evidences of Trade Revival, Says Chicago Bank."
1970,"attys and ins indus reprs start broad attack on Rockefeller's ‘no‐fault’ plan, Assembly Ins Com","ridicule plan's predictions of lower costs and broader coverage and call proposal ‘fake,’ a ‘disgrace’ and ‘contrary to the American way of life’; 1 of main objections is that plan would no longer allow victim to sue for losses, including so‐called ‘pain and suffering’ compensation; Stewart defends plan LAWYERS PROTEST INSURANCE PLAN"
1948,NY Fed Reserve Bank lr sees long term rate stability PRESSURE IS EASED ON FEDERAL BONDS,Reserve Bank Review Sees Rise in Confidence in Stability of LongTerm Interest Rates
1939,Annual meeting,officers re-elected Again Heads Jersey Chamber
1995,"The General Electric Company and Mitsui & Company of Japan have been awarded a $200 million contract from Compania Chilena de Generacion Electrica S.A., or Chilgener, to build a gas-fired power station in Santiago.   The contract involves the conversion and expansion of the existing Renca coal-fired power station to natural gas. G.E. and Mitsui Get Chile Job",
1988,LEAD: A PICKUP truck belonging to a unit owner is continually parked in a New Jersey condominium parking lot in violation of house rules that permit only passenger cars. TALKING: House Rules,How Best To Win Compliance
1993,"The phone call, he knew, could change his life. And it scared him. He had been told to expect the call at 3 o'clock last Friday afternoon.   The call was coming from the basketball coach at American University in Washington, and Ronnell Williams, age 18, did not want to miss it. He was the lean, 6-foot-6-inch leading scorer for Taft High School at 29 points a game and an honorable mention on the McDonald's all-America basketball team. He was also an honor student who had succeeded in advanced placement courses like calculus and Latin and had been a student council vice president and had graduated recently in the top 10 percent of his class and who, at about the same time, was convicted of drug dealing. His basketball scholarship hung in the balance, hung on that phone call. The Call of a Lifetime",
1974,MEN'S TRACK EVENTS WOMEN'S FIELD EVENTS WOMEN'S PENTATHLON U.S.‐U.S.S.R. Track Summaries,
1932,ed THE RELIEF SITUATION.,
1952,he and pilgrims visit grottos under St Peter's Basilica Article 2 -- No Title,
1990,"LEAD: Lee A. Iacocca today committed the Chrysler Corporation to producing the Dodge Viper, a high-powered two-seat sports car.   Chrysler Is Set To Build Viper",
1986,*3*** COMPANY REPORTS ** WEBB DEL E. INVESTMENT PROPERTIES reports earnings for Qtr to June 30,
2000,Michael Novak Op-Ed article hails Sen Joseph I Lieberman's advocacy of a role for religion in public life and says it is consistent with views of founding fathers (M) The Founders and the Torah,
1990,"LEAD: The annual State of the State address, which Gov. Mario M. Cuomo will deliver here on Wednesday, is often described as a road map for the coming year, filled with gubernatorial directives and proposals. But it also has its share of dead ends. State of State: Proposals by the Dozen",
1952,E Shipton resigns as '53 expedition leader in dispute with Brit groups over orgn,Col J Hunt successor EVEREST LEADER RESIGNS; Shipton Says British Backers Disagreed on 1953 Climb
1933,Situation at opening of yr FEDERAL RAILROAD AUTHORITY URGED FOR SAKE OF EFFICIENCY,Transportation Is Too Vital to Everybody to Be Regarded Simply as a Business
1938,ed FAREWELL TO NEUTRINO,
1931,"A $2,250,000 TRANSFER.",Four Manhattan and Bronx Apartments Figure in Deal.
2017,"The Breakdown: conversation starters and context, drawn from the day’s news in Australia. Senator Resigns Over Dual Citizenship. Also: Facebook Rejects Turnbull on Decryption.",
1941,Yugoslav delay in joining Axis discussed YUGOSLAVIA VERY SLOW TO JOIN AXIS FAMILY,Signing Ceremony Scheduled for Today In Vienna Indefinitely Postponed Because of Serb Dislike GERMANS RESENT THE DELAY
1927,"CHICAGO, Dec. 12. -- Wheat showed a heavy undertone from the start, due largely to weakness in Liverpool, which has persistently refused to reflect any upturn of consequence in North American markets. A very slow export inquiry also was a price factor.   WHEAT MART WEAK, CLOSE IS AT A LOSS",Weakness in Liverpool Is Reflected by a Heavy Undertone in the Chicago Market. FOREIGN DEMAND SLOW Selling Pressure and Profit-Taking Keep Corn From Responding to Early Buying.
1961,"Community Facilities Adm approves $680,000 loan for new dormitory Bennett College Gets Loan",
2009,"Brazil and India are now among the top five government supporters of research into third-world diseases, according to a study. Brazil and India Join the Top Ranks of Governments Supporting Research",
2012,"Based on the volume of searches for “War Horse,” Yahoo predicts that film will win the Academy Award. But What Are Academy Members Searching Online?",
1947,Awards equipment trust ctfs issue KATY BLOCK IS FLOATED,"$3,900,000 Certificates Offered at Prices to Yield 1.05 to 2.30%"
2018,A rental building in Brooklyn will be one of the first of its kind when a tech start-up introduces blockchain technology there this summer. A Blockchain Building in Bushwick,
2010,President Obama and Prime Minister Manmohan Singh must make the relationship between the United States and India more sustainable. Working With India,
2001,Federated Conservationists of Westchester County member Maureen M Morgan letter on September 16 article holds Alexander Saunders' plan to build tunnel to replace Tappan Zee bridge is flawed Plenty of Drawbacks In Tappan Tunnel Plan,
1972,"Crichton, Robert: Book The Camerons by R Crichton revd by C Lehmann‐Haupt Books of The Times",
1952,3 Reading Dates for Carradine,
1946,"Knoll, Gustave F GUSTAVE F. KNOLL","Retired Vaudeville Actor, 66, Had Toured U.S. for 25 Years"
1941,gas chamber described Gas Chamber Gives Civilians a Big Thrill When They Don Masks at Defense Show,
2010,"The author answers critics of her theory of “temes,” a “third replicator” in the evolutionary process. Copy That: A Response",
1959,"Bond prices lost more of their recent assurance yesterday, especially those of United States Government securities.   Bonds: Most Treasury Securities and Corporates Decline",CHANGES SMALL FOR U. S. ISSUES But Many of Them Approach Their Record Lows -- Bill Yields Advance
1946,"For U.N. Personnel, Army, Navy Officers",
1963,"WASHINGTON, Nov. 3--For consistently bad news, the paper to read is The Population Bulletin, a deceptively arid-looking journal published by the nonprofit Population Reference Bureau. The bulletin's message, very simply, is that the human race is breeding itself to death.   Observer",
1966,Suit jacket with pipe pocket designed by J Scalise for Pipe and Tobacco Council OUTLOOK IS BRIGHT FOR PIPE TOBACCO,
2005,> 19 on H.I.V. Drugs After Needle Prick,
1966,Pilots to Meet on Coast Oct. 4,
1928,FRENCH BANK CUTS,
1997,"Victoria Patricia Vallely, the daughter of Mr. and Mrs. Wilfred F. Vallely Jr. of Greenwich, Conn., was married there yesterday to Lloyd Bedford Cox 3d, a son of Mr. and Mrs. Cox Jr. of Bedford, N.Y. Msgr. Charles Stubbs performed the ceremony at the Church of St. Mary.    Mrs. Cox is known as Tori. She teaches preschool at the New Canaan Nature Center in New Canaan, Conn., and is a trip leader at the Mountain Workshop in Ridgefield, Conn., and at Wilderness Ventures in Jackson Hole, Wyo. She graduated from New England College. Her father is the chairman of A. T. Clayton & Company, a paper, printing and converting company in Greenwich.   Tori Vallely And Lloyd Cox 3d",
1961,stockholders approve sale Cream of Wheat Sale Voted,
1946,US delegate W R Austin backs USSR proposal,"urges broadening to include all mobilized armed forces, Assembly AUSTIN BARS TIFFS; Says Molotov Reveals a Distrust of Nations but U.S. Won't Bicker FOR VETO, WANTS IT CURBED Our Delegate Also Expresses Hope Trusteeship Council Will Be Established"
2006,"Aaron and Zalmen Teitelbaum struggle over who will be successor to their ailing father, Grand Rabbi Moses Teitelbaum, leader of Satmar Hasidim sect of Jews","grand rabbi chose Zalmen to lead main congregation in Williamsburg, Brooklyn in 1999; previously, he chose Aaron to run second-largest congregation in Kiryas Joel, NY; dispute has resulted in numerous lawsuits and violence on streets and in synagogues in Williamsburg; courts leave decision to grand rabbi but he has been silent; grand rabbis hold profound sway over members' lives and control real estate worth hundreds of millions of dollars and other temporal assets; photo (M) Hasidic Rabbi's Grave Illness Raises Succession Issue Between 2 Feuding Sons"
1952,APARTMENT RENTALS,
1992,"Paintings and sculptures in museums and galleries were draped in black yesterday, bells tolled in churches and art institutions, red AIDS-awareness ribbons were given out in hundreds of buildings and the lights went dark outside cultural landmarks in a symbolic blackout of city skylines from New York to San Francisco.    These events were part of the fourth annual Day Without Art, a worldwide commemoration organized by arts organizations and AIDS health and education groups in conjunction with the World Health Organization's AIDS Awareness Day. Making the Shadow of AIDS Visible",
1970,"HARRISON, N. Y., July 30 &#8212","The Westchester Golf Classic has raised $911,000 in three years for the benefit of six hos pitals in Westchester County. $911,000 Raised in 3 Years For Westchester Hospitals"
1933,"Rev Dr S High suggests that Reich be outlawed temporarily by U S, Gt Britain and France RABBIS' SERMONS URGE RACIAL IDEAL","Jews Are Asked at New Year Services to Bear Title as ""a Badge of Honor."" HITLERISM IS DENOUNCED Newman Asserts Boycott Will Avert War -- NRA Is Hailed for Spiritual Benefits."
1984,"Sam Henry Kass's first play, ''Side Street Scenes,'' was an engaging comedy with music about youthful aspiration. His new play, ''Family Snapshots'' (at the TOMI Theater), is about adult desperation. It is both more serious and less fully realized, but it offers additional evidence of Mr. Kass's talent, especially of his ability to write pungent, character- revealing dialogue. The playwright has a voice that is worth listening to, and Peter Kass, who is his director as well as his father, operates on the same wavelength. STAGE: 'SNAPSHOTS,' FATHER AND SON",
1962,William Paul Allen Dies,Lawyer Here Many Years
2001,Ben Ratliff reviews jazz pianist Chick Corea performing at Blue Note with bassist Miroslav Vitous and drummer Roy Haynes,"photo (M) Chick Corea, Celebrating With Friends"
2012,The outspoken Miami Marlins manager had been barred for five games for his pro-Fidel Castro comments. Guillen Returns to Dugout After Suspension,
1971,&#8220,SHEER COMEDY&#8221; Movie Mailbag
1978,Article 2 -- No Title,
2010,"Thirty television and 30 radio spots, customized for each Major League Baseball team, will encourage children to become active. Baseball Players Join First Lady’s Anti-Obesity Campaign",
1935,CORNELL'S VARSITY INTACT.,Rehearses Attack in Scrimmage Against the Second Eleven.
1930,"Slain by C M Davis, who commits suicide Postman Kills Woman and Himself.",
1968,'68 season ends,"7 storms killed 11; property damage put at $7,423,000 Hurricane Season Ends With 7 Storms, 11 Dead"
2010,A new role-playing game called EpicWin hopes to help people turn mundane to-do lists into an incentive to collect virtual goods. Turning a To-Do List Into a Game,
1936,"BERLIN, July 14. -- The conference of Locarno powers planned at Geneva to take place in Brussels toward the end of July now seems likely to be held, if at all, late in August or early in September.   Postponement Is Likely",
1991,"Oscar Nitzchke, an architect who designed a number of internationally recognized buildings, including the United Nations headquarters in New York and the Los Angeles Opera House, died Monday at the Hopital Charles Foix in Ivry sur Seine, a suburb of Paris. He was 90 years old and lived in Paris.   Mr. Nitzchke died of natural causes, a family spokesman said. Oscar Nitzchke, Modern Architect Who Designed U.N., Is Dead at 90",
1963,Miss Leslie Boocock To Be Count's Bride,
2005,"AT NBC's presentations to advertisers in May, Kevin Reilly, the president of NBC Entertainment, referred to the network's prize sitcom ''My Name Is Earl'' as a ''redneck'' show that was also ''upscale.''     Hm. Redneck-upscale. ''Badlands,'' Faulkner and the work of the Coen brothers arguably fit this category, but what a grim, cynical marketing concept. What comes to mind? Grease-monkey jumpsuits and Timberlands? Petty outlaws who are hilarious because they're dumb?   Put on Your Best Gimme Hat. It's the Upscale Redneck Show",
1933,Constitution Day ignored Nazi Germany Forgets Constitution Day,Even Attacks on the Republic Are Lacking
2011,Devotees say that meats cooked on Big Green Eggs — the egg-shaped ceramic grills called kamados — are more moist and succulent. Green Eggs and Hamburgers,
1998,"SURABAJA, Indonesia—  Welcome to the executive suite at the five-star Hotel Majapahit, a celebration of marble, Oriental rugs and gold plate.  Silent Hotels / Building Boom Goes Bust : 5-Star Luxury at Bargain Prices",
1934,Lr on difficulties of borrowing if applicant is not in business BORROWING THEN AND NOW.,"Once Integrity, Ability and Real Estate Were Enough for a Loan."
1930,ed MISS BROWARD TO WED W.J. CRAWFORD JR.,Daughter of the Late Governor Broward of Florida to Be Married Here on Feb. 24.
1982,"What if Fate had denied me the coveted role of political essayist, and assigned me instead to cover Washington dinner parties for the Home-Living-Food-Fashion-Style section? Here are some notes hastily scribbled after a couple of social occasions.   Dinner last Friday night, home of Judy and Les Gelb","he's my colleague at The Times who covers national security affairs, whose guests included the Soviet Ambassador, Anatoly Dobrynin, and former Defense Secretary Clark Clifford, who has just become board chairman of a string of Arab-controlled U.S. banks.   Figured it was my job, at the dinner table, to be the right-winger asking the nastiest questions. Asked Anatoly (who didn't blink when I used his first name, and graciously used my own) about Soviet military buildup and cheating on SALT. His replies not attributable (social occasions afford safety from predatory reporters) but boy, does he have facts and figures to make it seem the West is ganging up on the peace-loving Russians. Anatoly is a real pro, but I don't think Mrs. Dobrynin likes me. Essay; ON DINNER PARTIES"
1951,"WOODBRIDGE, N. J., Feb. 7 --The City Council chamber in the Municipal Building here presented a pathetic scene today as relatives of the dead and injured in the Pennsylvania Railroad wreck came in to identify clothing and personal possessions of their kin.   Articles Lost in Wreck Pile Up in Police Station",
1994,"Representative Jim Leach of Iowa dropped his blockbuster this afternoon, but whether it will inflict heavy political damage remains to be seen.   For weeks and months there have been allegations of irregularities, even skulduggery, in an Arkansas real estate deal involving Bill Clinton and his wife, Hillary, 15 years ago. But to most Americans it seemed like much ado about not very much, and the whole thing happened long ago and far away, anyway. Fresh Questions Making Whitewater An Affair That Is Difficult to Forget",
2007,Barack Obama has clearly struck a chord among younger voters. What will this mean in the end? Will Obama Rock the Youth Vote?,
1952,"Caroline Hudson Wed in Glen Cove Church To Edmund C. L ynch, a'488 Yale Graduate",
1950,Parliament studies new tax law WHY E.C.A. FINDS ITALY HARD COUNTRY TO REFORM,"Industrialists Are Criticized for Speculating, Instead of Returning Profits to Plants"
1984,"The official press agency Tass said the two men agreed that Washington and Israel were ''stepping up their aggressive course'' in the Middle East.   They also accused the United States of building up its forces in the Persian Gulf and the Red Sea. YEMENI MEETS SOVIET LEADER MOSCOW, Oct. 2 (Reuters) - Konstantin U. Chernenko, the Soviet leader, attacked United States policies in the Middle East and the Persian Gulf today during talks with the leader of Southern Yemen, Ali Nasser Mohammed.",
1984,"Not often does life provide an opportunity to go from the sublime to the ridiculous as rapidly as this week, when two of 1983's better movies - ''Silkwood'' and ''To Be or Not to Be'' - come to cable for the first time.   ''Silkwood,'' to be shown Saturday at 8 P.M. on Cinemax and Showtime and repeated at 3:40 A.M. on Cinemax, offers the sublime in the form of the performance by Meryl Streep as Karen Silkwood, who died in a 1974 car crash while engaged in a campaign to expose sloppy safety conditions in the Oklahoma plutonium processing plant where she worked.    A year after the initial release of ''Silkwood'' provided an opportunity to reexamine Karen Silkwood's life and death, it may be possible to focus more fully on ''Silkwood'' as a feat of filmmaking. CRITICS' CHOICES",
1984,"HARTFORD In 1973 Barnaby Horton and    Peter D. Grace were about to   enter kindergarten in Canton   when a lawsuit on their behalf was filed that eventually overturned the way Connecticut financed its public schools.   Last week, with Barnaby Horton and Peter D. Grace now in the ninth grade, a Superior Court judge issued another key ruling in the landmark case known as Horton v. Meskill.   The judge, Arthur L. Spada, ruled that portions of the state's school-aid program were unconstitutional. He also ordered the General Assembly to spend more money to fully finance the school-aid formula that was adopted in 1979 to comply with earlier decisions in Horton v. Meskill. IMPACT OF NEW RULING ON SCHOOLS IS WEIGHED",
1985,"In a dramatic swing of the pendulum, the idea of progressive education has given way in Great Britain and France to conservative theory and practice. The guiding doctrine in Francois Mitterrand's socialist France is indistinguishable from that in Prime Minister Margaret Thatcher's Britain or Ronald Reagan's America. The emphasis is on the Three R's, high grades and tests. Science, mathematics and computer literacy are enjoying favor, along with demands that the schools serve the job market.   Some years ago, a big British export item was the open classroom, where children worked independently in small groups under the unobtrusive guidance of the teacher. Today, little is said on either side of the Atlantic about such experiments.   IN EUROPE, TOO, IT'S BACK TO BASICS",
1971,TO THE EDITOR: Letters,
1938,With 2 sons comprises Franklin and Marshall Coll history faculty History Taught at F. & M. By Father and Two Sons,
1951,H Weitzner sees over 1/2 of '51 output used for vinyl film Vinyl to Use Most Plastic,
1959,Elaborate Decor Is Endorsed for Model Settings in New Apartment Here,
2010,Can a boy from Montana and a girl from Texas make it in Moscow? Ask the Dancers: Young Americans in a Russian Bastion,
1928,Ed on vegetables for them coming from So Western U S TOPICS OF THE TIMES.,
1988,LEAD: It began as the case of the ''Phantom'' author and the phantom author,it has become a battle of words over the words ''inspired by'' and ''based on'' - over which ones are appropriate to describe the novelist Gaston Leroux's contribution to the Andrew Lloyd Webber musical version of Mr. Leroux's ''Phantom of the Opera. Old Novel Returns to Haunt a Current Musical
1948,DR. LEON MULDAVlN,
1977,"article on Sen Russell B Long, powerful chmn of Sen Finance Com who is seen as holding key to Carter's legis program","Long por Senator Long, as Head of Finance Panel, Holds Key to Carter's Legislative Program"
1972,Sen Finance Com begins considering ways to strip from welfare rolls all able-bodied adults who refuse to work,"has not yet voted on issue but there are strong indications that it will approve far stiffer 'must work' requirements than those in Nixon Adm's proposed welfare reform plan; com chmn Long discloses, Apr 24, that there appears to be strong sentiment within com for creating 'make work' jobs to ensure that there are sufficient employment openings for all able-bodied welfare recipients; asserts that such a guaranteed job would be 1 alternative to Adm's proposed guaranteed income; com spokesman notes that under guaranteed job plan, entire family, including children, would be denied welfare payments if family head refused to work; com survey of state govs shows that states could create 233,032 public service jobs, fully subsidized by Fed Govt, for those on welfare Senate Panel Weighs Stiff ‘Must Work’ Provisions in Welfare Reform Proposal"
1929,Article 16 -- No Title,
1962,"The Masterwork Chorus and Orchestra conducted by David Randolph presented a concert at Carnegie Hall last night that had as its major offering Brahms' ""Ein Deutsches Be  quiem,"" Op. 45. Also on the program was Beethoven's ""Egmont"" Overture. The more than hour-and-thirty-minute Brahms work was separated between the third and fourth movements by the intermission.   MASTERWORK GROUP PRESENTS A CONCERT",
1990,"LEAD: This selection of paperbacks is from the New & Noteworthy column since the 1989 Christmas issue.       GEEK LOVE, by Katherine Dunn. (Warner, $9.95.) A carnival family learns that do-it-yourself genetic experimentation can be fun and profitable.       ALL CONSUMING IMAGES: The Politics of Style in Contemporary Culture, by Stuart Ewen. A Noteworthy Collection",
1940,DOCTOR CLEARED IN DEATH,Charge Involving Young Woman Dismissed in Court
1965,"Marshal Konev recalls link-up and meeting Gen Bradley, Tass int MEETING AT ELBE HAILED BY KONEV",Soviet Commander Recalls '45 Link With U.S. Units
1925,Opium question failure THE OPIUM FAILURE.,
1958,"Wedding Is Held 'FOr Bsy' Ross, J. F2 Fleming Jr:",Ex Wellesley Studenl Is Bride in Fitchburg of M.I.T. Alumnus
1939,"In behalf of the plan to transfer eight ships of the United States Lines to the registry of Panama, President Roosevelt points out that nothing in the new Neutrality Act has altered the right of...   UNDER PANAMA'S FLAG",
1950,"Mills, Edw H Obituary 4 -- No Title",
1993,"The last thing one expects of a major Hollywood studio is a $30 million movie that might have been torn from the ugliest of newspaper headlines about divorced fathers who murder their children or tormented men who shoot up fast-food restaurants.    Hollywood, leery of reality, usually channels apocalyptic rage into fantasies like ""Die Hard"" and ""Lethal Weapon."" ""Falling Down,"" a Warner Brothers movie opening on Friday, tells of an ordinary man, played by Michael Douglas, who breaks down one hot Los Angeles morning in a freeway traffic jam and blazes a trail of violence across the city. It is a movie filled with fury, human scum and hatred in the metaphorical urban sewer that the city of the angels has become. 'Falling Down' Takes Its Cues From the Headlines",
1959,Leonard -- Roberts,
1939,"Swink, Jno L",F Glover (e) Glover--Swink
2016,"The musician said reports of “summary executions of suspected offenders without trial or judicial process” in the Philippines were “deeply concerning.” James Taylor Cancels Concert in Philippines, Citing Bloody Antidrug Campaign",
1966,DOG FIGHT SETS OFF A BATTLE IN COURT,
1974,"Stuart, Donald R DONALD R. STUART",
2013,Scenes from the New York fashion week photo diary of Alfredo Piola. The Scene | New York Fashion Week: Lacoste,
1950,"The Brown-Forman Distillers Corporation in the fiscal year ended last April achieved the second largest sales in its eighty-year history, but earnings were slightly less than the previous year.   RECORD SALES SET BY BROWN-FORMAN","Company Reports $45,725,403 for an Increase of 7.5% Over Previous Year BUT INCOME IS LOWER Earnings $3,242,612, Equal to $4.64 a Share--50.6% Paid in Excise Taxes"
2003,"O'BRIEN - Brother Gerard, OSF. On January 2, 2003. Beloved brother of Sister Margaret O'Brien, M.M. and Kathleen Veech. Uncle of Patricia Cocurullo and Edward Veech. Brother-in-law of Edward Veech, Sr. Reposing at Maria Regina Residence, Brentwood, N.Y. Sunday 2-5 and 7-8:30PM. Mass of Christian Burial Monday, 11AM at Maria Regina Chapel. Interment Holy Rood Cemetery, Westbury, New York. Paid Notice: Deaths  O'BRIEN, BROTHER GERARD",
1932,Lr on printing encouraging news MUCH THAT IS ENCOURAGING,Business Is Available if We Stop Worrying and Go After It.
1953,New accessories for the home and for the people in it have recently arrived from Mexico and may be found at two shops here.   OBJECTS FOR ALL HERE FROM MEXICO,"Home Furnishings, Clothing Among Recent Imports at Two Shops in the City"
2008,"People on Wall Street seem to be vanishing overnight. Thousands are losing their jobs as hard-pressed banks cut deep. But while layoffs are nothing new in the financial industry, this round seems different: it is eerily quiet.  For Wall Street Workers, Ax Falls Quietly",
1996,"Seton Lloyd, a British archeologist who put his architectural training to use when he led spectacular digs in Iraq and Turkey, died on Jan. 7, London newspapers reported. He was 93 and lived in Faringdon, England.         At his death he was a professor emeritus of western Asiatic archeology at the Institute of Archeology, University of London. But he accomplished his most notable excavation earlier as director of the British Institute of Archeology in Ankara.    Seton Lloyd, 93, Rediscoverer of a Lost Empire",
2017,"Nicole Kidman and Isabelle Huppert provided the star wattage of the week, while John Galliano’s Maison Margiela gave new meaning to the concept of new look. Oscar Dress Shopping at Armani Privé",
1984,"Educators and political leaders across the country are showing a growing interest in the instruction of 3- to 5-year-olds in light of mounting evidence that it results in better-adjusted children and reduced public spending over the long run.    New York State increased aid for prekindergarten programs this year from $9 million to $14 million, and half- day kindergarten classes in New York City were lengthened to a full day. Five states recently enacted laws making kindergarten attendance compulsory, and the legislatures of a dozen others, including Connecticut, are considering similar measures.    Gordon M. Ambach, the Commissioner of Education in New York, and Gerald Tirozzi, his counterpart in Connecticut, recently endorsed the idea of starting formal schooling at the age of 4 rather than 6, the current practice.    'A Question of Equity'      The emerging focus on early childhood education is a product of several forces, including the current wave of education legislation in virtually every state. ''Most of the focus thus far has been on high schools,'' said Michael Kirst, a professor of education at Stanford University. ''There's a growing realization that you really have to start much earlier.'' EARLIER SCHOOLING IS PRESSED",
1926,"Lavik, G D, killed at Little East Neck Road Crossing, L I, Nov 5",inquest adjourned until Nov 10 Article 1 -- No Title
